Date,Price,Open,High,Low,Vol.,Change %,Return
2020-09-22,6.6,6.6,6.6,6.6,400.0,0.0,0.0
2020-09-23,6.6,6.6,6.6,6.6,1500.0,0.0,0.0
2020-10-12,6.5,6.5,6.5,6.5,250.0,0.0,0.0
2020-10-13,6.5,6.5,6.5,6.5,300.0,0.0,0.0
2020-10-19,6.5,6.5,6.5,6.5,250.0,0.0,0.0
2020-10-20,6.5,6.5,6.5,6.5,30.0,0.0,0.0
2020-10-27,6.5,6.5,6.5,6.5,260.0,0.0,0.0
2020-10-28,6.5,6.31,6.5,6.31,100.0,0.0,0.0
2020-11-11,6.49,6.49,6.49,6.49,250.0,-0.15,-0.15384615384614886
2020-11-16,6.4,6.39,6.4,6.39,40.0,0.16,0.15649452269170805
2020-11-17,6.4,6.4,6.4,6.4,10.0,0.0,0.0
2020-12-14,6.35,6.35,6.35,6.35,20.0,0.0,0.0
2020-12-23,6.5,6.21,6.5,6.21,70.0,0.0,0.0
2020-12-31,6.5,6.39,6.5,6.39,1550.0,0.0,0.0
2021-01-13,6.45,6.45,6.45,6.45,20.0,0.0,0.0
2021-01-28,6.45,6.45,6.45,6.45,200.0,0.0,0.0
2021-02-01,6.4,6.4,6.4,6.4,100.0,0.0,0.0
2021-02-03,6.39,6.39,6.39,6.39,100.0,-0.16,-0.15625000000001332
2021-02-04,6.39,6.39,6.39,6.39,40.0,0.0,0.0
2021-02-05,6.39,6.39,6.39,6.39,80.0,0.0,0.0
2021-02-12,6.39,6.39,6.39,6.39,20.0,0.0,0.0
2021-02-15,6.39,6.39,6.39,6.39,40.0,0.0,0.0
2021-02-16,6.39,6.39,6.39,6.39,20.0,0.0,0.0
2021-02-18,6.5,6.5,6.5,6.5,7020.0,0.0,0.0
2021-02-19,6.5,6.5,6.5,6.5,10.0,0.0,0.0
2021-02-22,6.5,6.5,6.5,6.5,300.0,0.0,0.0
2021-02-23,6.5,6.5,6.5,6.5,20.0,0.0,0.0
2021-02-24,6.5,6.5,6.5,6.5,1250.0,0.0,0.0
2021-02-25,6.5,6.5,6.5,6.5,360.0,0.0,0.0
2021-02-26,6.5,6.5,6.5,6.5,110.0,0.0,0.0
2021-03-02,6.5,6.5,6.5,6.5,590.0,0.0,0.0
2021-03-04,6.6,6.6,6.6,6.6,10.0,0.0,0.0
2021-03-15,6.7,6.7,6.7,6.7,4790.0,0.0,0.0
2021-03-30,6.79,6.79,6.79,6.79,500.0,0.0,0.0
2021-04-06,6.8,6.8,6.8,6.8,2080.0,0.15,0.14727540500736325
2021-04-08,6.8,6.8,6.8,6.8,1680.0,0.0,0.0
2021-04-15,6.8,6.8,6.8,6.8,610.0,0.0,0.0
2021-04-16,6.8,6.8,6.8,6.8,1170.0,0.0,0.0
2021-04-20,6.81,6.81,6.81,6.81,1480.0,0.15,0.14705882352941124
2021-04-21,6.8,6.8,6.8,6.8,710.0,-0.15,-0.1468428781204123
2021-04-30,6.81,6.81,6.81,6.81,20.0,0.0,0.0
2021-05-06,6.9,6.9,6.9,6.9,20.0,0.0,0.0
2021-05-07,6.9,6.9,6.9,6.9,20.0,0.0,0.0
2021-05-19,6.95,6.95,6.95,6.95,1400.0,0.0,0.0
2021-05-20,6.95,6.95,6.95,6.95,10.0,0.0,0.0
2021-05-21,6.95,6.95,6.95,6.95,2000.0,0.0,0.0
2021-05-24,6.97,6.95,6.97,6.95,210.0,0.29,0.2877697841726645
2021-05-25,6.96,6.97,6.97,6.96,14400.0,-0.14,-0.1434720229555153
2021-05-26,6.97,6.97,6.97,6.97,150.0,0.14,0.1436781609195359
2021-05-27,6.97,6.97,6.97,6.97,500.0,0.0,0.0
2021-05-28,6.97,6.97,6.97,6.97,350.0,0.0,0.0
2021-05-31,6.97,6.97,6.97,6.97,300.0,0.0,0.0
2021-06-01,6.97,6.97,6.97,6.97,550.0,0.0,0.0
2021-06-02,6.97,6.97,6.97,6.97,1100.0,0.0,0.0
2021-06-03,6.97,6.97,6.97,6.97,1000.0,0.0,0.0
2021-06-04,6.97,6.95,6.97,6.95,360.0,0.0,0.0
2021-06-09,6.95,6.95,6.95,6.95,80.0,-0.29,-0.2869440459110417
2021-06-28,6.95,6.95,6.95,6.95,460.0,-0.14,-0.1436781609195359
2021-07-22,6.99,6.99,6.99,6.99,500.0,-0.14,-0.14285714285714457
2021-07-27,7.1,7.1,7.1,7.1,2440.0,0.28,0.28248587570620654
2021-07-29,7.1,7.1,7.1,7.1,1000.0,0.0,0.0
2021-08-04,7.25,7.25,7.25,7.25,60.0,0.0,0.0
2021-10-04,7.3,7.3,7.3,7.3,630.0,0.0,0.0
2021-10-05,7.31,7.31,7.31,7.31,500.0,0.14,0.136986301369868
2021-10-07,7.31,7.31,7.31,7.31,500.0,0.0,0.0
2021-10-22,7.0,7.0,7.0,7.0,200.0,0.0,0.0
2021-10-26,7.0,7.0,7.0,7.0,60.0,0.0,0.0
2021-11-04,7.03,7.03,7.03,7.03,200.0,0.43,0.4285714285714226
2021-12-27,6.7,6.7,6.7,6.7,350.0,0.0,0.0
2022-01-05,6.67,6.67,6.67,6.67,3540.0,0.0,0.0
2022-01-06,6.67,6.67,6.67,6.67,1670.0,0.0,0.0
2022-01-07,6.67,6.67,6.67,6.67,2900.0,0.0,0.0
2022-01-12,6.68,6.68,6.68,6.68,320.0,-0.15,-0.1494768310911887
2022-01-13,6.71,6.7,6.71,6.7,790.0,0.45,0.44910179640718084
2022-01-18,6.58,6.58,6.58,6.58,660.0,0.0,0.0
2022-01-19,6.58,6.58,6.58,6.58,1000.0,0.0,0.0
2022-01-21,6.6,6.6,6.6,6.6,600.0,0.3,0.3039513677811412
2022-01-27,6.61,6.61,6.61,6.61,15000.0,0.15,0.15151515151516914
2022-02-01,6.6,6.6,6.6,6.6,430.0,-0.15,-0.1512859304084846
2022-02-03,6.58,6.58,6.58,6.58,300.0,-0.3,-0.3030303030302939
2022-02-04,6.6,6.6,6.6,6.6,60.0,0.3,0.3039513677811412
2022-02-07,6.6,6.6,6.6,6.6,1060000.0,0.0,0.0
2022-02-09,6.6,6.6,6.6,6.6,357240.0,0.0,0.0
2022-02-10,6.6,6.6,6.6,6.6,1710000.0,0.0,0.0
2022-02-11,6.6,6.6,6.6,6.6,2190.0,0.0,0.0
2022-02-15,6.6,6.6,6.6,6.6,500.0,0.0,0.0
2022-02-17,6.83,6.6,6.83,6.6,500000.0,-0.29,-0.29197080291970545
2022-02-18,6.83,6.83,6.83,6.83,40.0,0.0,0.0
2022-02-22,6.6,6.6,6.6,6.6,200000.0,0.0,0.0
