Date,Price,Open,High,Low,Vol.,Change %,Return
2020-09-25,1.95,1.95,1.95,1.95,20.0,0.0,0.0
2020-10-01,2.04,2.04,2.04,2.04,720.0,-1.92,-1.9230769230769273
2020-10-05,2.1,2.09,2.1,2.09,260.0,0.0,0.0
2020-10-07,2.12,2.12,2.12,2.12,550.0,0.95,0.952380952380949
2020-10-08,2.16,2.16,2.16,2.16,130.0,1.89,1.8867924528301883
2020-10-09,2.17,2.17,2.17,2.17,2750.0,0.46,0.4629629629629539
2020-11-03,2.05,2.05,2.05,2.05,280.0,0.0,0.0
2020-11-06,2.2,2.2,2.2,2.2,0.0,1.38,1.382488479262678
2020-11-09,2.2,2.2,2.2,2.2,380.0,0.0,0.0
2020-11-11,2.25,2.25,2.25,2.25,40.0,0.0,0.0
2020-11-16,2.4,2.4,2.4,2.4,0.0,1.69,1.6949152542372836
2020-11-17,2.35,2.35,2.35,2.35,90.0,-2.08,-2.083333333333326
2020-11-18,2.35,2.4,2.4,2.35,570.0,0.0,0.0
2020-11-19,2.35,2.35,2.35,2.35,390.0,0.0,0.0
2020-11-23,2.35,2.35,2.35,2.35,140.0,0.0,0.0
2020-12-02,2.51,2.58,2.58,2.51,390.0,0.0,0.0
2020-12-03,2.51,2.51,2.51,2.51,1000.0,0.0,0.0
2020-12-04,2.54,2.54,2.54,2.54,400.0,1.2,1.195219123505975
2020-12-07,2.54,2.54,2.54,2.54,100.0,0.0,0.0
2020-12-09,2.41,2.41,2.41,2.41,80.0,-0.82,-0.8230452674897082
2020-12-11,2.31,2.31,2.31,2.31,150.0,0.0,0.0
2020-12-18,2.36,2.36,2.36,2.36,34680.0,-0.42,-0.42194092827004814
2020-12-21,2.36,2.36,2.36,2.36,377860.0,0.0,0.0
2020-12-22,2.36,2.36,2.36,2.36,17390.0,0.0,0.0
2020-12-23,2.36,2.36,2.36,2.36,493590.0,0.0,0.0
2020-12-24,2.36,2.36,2.36,2.36,258750.0,0.0,0.0
2020-12-25,2.36,2.36,2.36,2.36,675270.0,0.0,0.0
2020-12-28,2.36,2.36,2.36,2.36,104630.0,0.0,0.0
2020-12-29,2.36,2.36,2.36,2.36,2980000.0,0.0,0.0
2020-12-30,2.36,2.36,2.36,2.36,180.0,0.0,0.0
2020-12-31,2.36,2.36,2.36,2.36,2440.0,0.0,0.0
2021-01-04,2.36,2.36,2.36,2.36,70530.0,0.0,0.0
2021-01-05,2.36,2.36,2.36,2.36,71050.0,0.0,0.0
2021-01-06,2.36,2.36,2.36,2.36,18270.0,0.0,0.0
2021-01-07,2.36,2.36,2.36,2.36,13420.0,0.0,0.0
2021-01-08,2.36,2.36,2.36,2.36,32030.0,0.0,0.0
2021-02-26,2.18,2.18,2.18,2.18,320.0,0.0,0.0
2021-03-03,2.3,2.35,2.35,2.3,3020.0,0.0,0.0
2021-03-08,2.29,2.29,2.29,2.29,230.0,0.0,0.0
2021-03-10,2.25,2.25,2.25,2.25,10.0,-1.75,-1.7467248908296984
2021-03-15,2.25,2.25,2.25,2.25,10.0,0.0,0.0
2021-03-16,2.25,2.25,2.25,2.25,70.0,0.0,0.0
